테이블명,한글명,한 행의 의미,왜 필요한가,주요 관계,보관·주의사항
app_user,사용자,등록된 시니어 또는 보호자 한 명,"사용자 현재 상태, 호칭, 시간대와 목적별 동의를 최종 조회한다.",관계·로봇·온보딩·대화·기억·돌봄 기록의 사용자 FK,동의 이력 원장이 아니며 user_type만으로 특정 시니어 접근을 허용하지 않는다.
care_relationship,돌봄 관계,시니어와 보호자의 연결 한 건,보호자 조회 범위와 단 한 명의 PRIMARY 민감정보 관리 권한을 판단한다.,senior_id·guardian_id·permission_granted_by → app_user,ACTIVE 관계만 후보이며 PRIMARY 변경 시 관리 권한 동의를 다시 받아야 한다.
robot,로봇,로봇 한 대의 현재 배정·모드·환경 스냅샷,MQTT 대상과 현재 제어·환경 상태를 연결한다.,senior_id → app_user; 온보딩·시나리오가 참조,"센서 시계열, 배터리, 온라인 접속 원장이 아니다."
onboarding_session,온보딩 세션,앱 또는 로봇에서 시작해 양 채널이 이어갈 수 있는 온보딩 한 번,"질문 세트 버전, 최초 채널, 진행 위치와 종료 결과를 관리한다.",senior_id → app_user; robot_id → robot; answer가 참조,한 시니어의 IN_PROGRESS 세션은 하나이고 projection과 같은 트랜잭션에서 갱신한다.
onboarding_answer,온보딩 답변,세션의 질문 코드 하나에 대한 현재 정규화 답변,앱과 로봇 입력을 같은 JSON 구조로 보존하고 근거 메시지와 확인자를 연결한다.,session → onboarding_session; 사용자·대화·메시지 FK,최종 프로필 원본이 아니며 민감한 중간 값은 반영 후 무기한 중복 보존하지 않는다.
scenario,시나리오,로봇 행동 흐름 한 번,외부 시작 사건과 로봇·시니어·굵은 진행 및 종료 상태를 묶는다.,senior → app_user; robot → robot; 대화·돌봄이 참조,모든 MQTT eventId·commandId·세부 상태를 저장하는 원장이 아니다.
conversation,대화,시니어와 로봇의 대화 묶음,"대화 경계, 상태, Raw 메시지 보존 만료 시점을 관리한다.",senior → app_user; scenario → scenario; message·summary가 참조,발화 본문은 두지 않으며 ended_at과 raw_messages_expires_at의 의미를 구분한다.
conversation_message,대화 메시지,시니어 또는 로봇의 실제 텍스트 발화 한 번,최근 N개·대화 전체·사용자 현지 오늘 메시지를 같은 Raw 집합에서 조회한다.,conversation_id → conversation; 답변·후보·돌봄의 근거 FK,음성·영상·전체 프롬프트는 저장하지 않고 보존 조건 충족 뒤 삭제할 수 있다.
conversation_summary,대화 요약,대화 하나 또는 사용자 현지 날짜 하루의 요약 한 건,Raw 문맥을 압축해 다음 대화에 선택적으로 제공한다.,senior → app_user; conversation·superseded self FK; memory가 참조,장기 개인화 사실이 아니며 재생성 시 덮어쓰지 않는다.
fact_candidate,사실 후보,아직 최종 원본에 반영되지 않은 사실 후보 한 건,"재질의, 민감정보 확인, 시니어·PRIMARY 협의와 멱등 반영을 한 생명주기로 관리한다.",답변·대화·메시지·사용자 FK; 최종 대상은 논리 참조,status와 coordination_status는 서로 다른 축이며 confirmed_value만 물리 반영한다.
memory,장기 기억,대화 없이 이해되고 장기간 재사용할 개인화 사실 한 건,키워드와 벡터를 혼합해 관련 기억을 찾고 확인·공개·수명을 적용한다.,senior·대화·요약·후보 FK; superseded self FK,Raw 전문이나 요약 전문을 복사하지 않고 건강 업무 원본을 대신하지 않는다.
care_record,돌봄 기록,확정된 건강·복약·일정·관찰·알림 사실 한 건,"민감 돌봄 사실과 반복 규칙, 근거, 버전 관계를 보존한다.",사용자·시나리오·대화·메시지·후보·parent self FK,변경은 기존 행 덮어쓰기가 아니라 새 행과 parent_record_id로 연결한다.
occupancy_event,현관 이벤트,현관을 통과했거나 재실 상태가 바뀐 사건 한 건,"루틴 베이스라인 학습, 외출 빈도 추세, 야간 배회 감지처럼 침묵 사다리가 원리적으로 잡지 못하는 신호를 남긴다.",senior_id·robot_id → app_user·robot,"시나리오 실행 기록이 아니라 통과 사실 원장이며, 하루 몇 행 수준이고 원본 이동 로그를 보호자에게 그대로 보내지 않는다."
daily_activity_metric,일간 활동 지표,시니어 한 명의 하루치 집계 지표 한 건,T2 일일 요약이 복약·식사·수면·발화량·외출 추세를 시계열로 조회하도록 원본 관찰이 아닌 집계만 보관한다.,senior_id → app_user,"(senior_id, metric_date) 유일 제약으로 하루 한 행이며, 측정하지 못한 지표는 0이 아니라 NULL로 남긴다."
known_person,아는 사람 명부,어르신 주변 인물(가족·지인) 한 명,이름·관계·생존 여부를 구조화해 회피 대상을 결정론적으로 가려낸다. 대화 문맥 API의 avoidTopics 출처.,senior_id → app_user; guardian_user_id → app_user (논리 참조),"is_deceased가 NULL이면 '모른다'이며 TRUE와 동일하게 회피 대상으로 취급한다. memory로 보내지 않으며(벡터 검색 금지), deceased_note는 프롬프트에 노출하지 않는다."
