JSONB 구조 ID,테이블명,컬럼명,스키마 버전,JSON 경로,부모 경로,키 이름,데이터 타입,필수 여부,NULL 허용 여부,배열 여부,배열 항목 타입,허용 코드 그룹,설명,값 형식,비식별 예시 값,민감정보 여부,금지 정보,보존 정책,하위 호환성 규칙,객체 상태,최초 도입 버전,최종 변경 Jira,비고
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.avoidedTopics[],$,avoidedTopics,array<string>,N,N,Y,string,N/A,피하고 싶은 대화 주제,array<string>,정치,Y,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.defaultReminderLeadMinutes,$,defaultReminderLeadMinutes,integer,N,N,N,N/A,N/A,기본 알림 사전 시간(분),integer,60,N,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.healthSuggestionSensitivity,$,healthSuggestionSensitivity,enum string,N,N,N,N/A,N/A,건강 제안 민감도,enum string,CAUTIOUS,N,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.humorLevel,$,humorLevel,integer,N,N,N,N/A,N/A,유머 수준,integer,1,N,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.needsRepeatedExplanation,$,needsRepeatedExplanation,boolean,N,N,N,N/A,N/A,반복 설명 선호 여부,boolean,false,N,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.preferredConversationWindows[],$,preferredConversationWindows,array<string>,N,N,Y,string,N/A,선호 대화 시간대,array<string>,09:00-11:00,Y,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.proactiveSpeechLevel,$,proactiveSpeechLevel,integer,N,N,N,N/A,N/A,능동 발화 수준,integer,2,N,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.reminiscenceEnabled,$,reminiscenceEnabled,boolean,N,N,N,N/A,N/A,추억 회상 대화 사용 여부,boolean,true,N,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.responseLength,$,responseLength,enum string,N,N,N,N/A,CODE_RESPONSE_LENGTH,응답 길이 선호,enum string,SHORT,N/A,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.schemaVersion,$,schemaVersion,integer,Y,N,N,N/A,N/A,구조 버전,integer,2,N,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
JSON_APP_USER_PREFERENCES_V2,app_user,conversation_preferences,2,$.speechRate,$,speechRate,enum string,N,N,N,N/A,N/A,말하기 속도 선호,enum string,SLOW,N,인증정보·생체정보·원시 센서·전체 요청/응답 금지,컬럼 보존 정책과 동일,알 수 없는 최상위 키는 기본 거부; schemaVersion 변경 시 이전 reader 유지,ACTIVE,0.3.0,S15P11E102-84,Spring DTO validator 적용
