대상,코드값,뜻,언제 사용,주의
app_user.user_type,SENIOR,사용자 유형: SENIOR,app_user.user_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.user_type,GUARDIAN,사용자 유형: GUARDIAN,app_user.user_type의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.status,ACTIVE,계정 상태: ACTIVE,app_user.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.status,SUSPENDED,계정 상태: SUSPENDED,app_user.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.status,WITHDRAWN,계정 상태: WITHDRAWN,app_user.status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.onboarding_status,NOT_STARTED,온보딩 현재 projection: NOT_STARTED,app_user.onboarding_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.onboarding_status,IN_PROGRESS,온보딩 현재 projection: IN_PROGRESS,app_user.onboarding_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.onboarding_status,COMPLETED,온보딩 현재 projection: COMPLETED,app_user.onboarding_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.onboarding_status,DECLINED,온보딩 현재 projection: DECLINED,app_user.onboarding_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.personalization_consent_status,NOT_ASKED,목적별 동의 상태: NOT_ASKED,app_user.personalization_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.personalization_consent_status,GRANTED,목적별 동의 상태: GRANTED,app_user.personalization_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.personalization_consent_status,DENIED,목적별 동의 상태: DENIED,app_user.personalization_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.personalization_consent_status,REVOKED,목적별 동의 상태: REVOKED,app_user.personalization_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.health_data_consent_status,NOT_ASKED,목적별 동의 상태: NOT_ASKED,app_user.health_data_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
app_user.health_data_consent_status,GRANTED,목적별 동의 상태: GRANTED,app_user.health_data_consent_status의 상태·분기 판단,정의되지 않은 값을 성공으로 처리하지 않음
